Territory X Date,Target
Afghanistan X 04/02/2020,4
Afghanistan X 04/03/2020,5
Afghanistan X 04/04/2020,5
Afghanistan X 04/05/2020,5
Afghanistan X 04/06/2020,6
Afghanistan X 04/07/2020,8
Afghanistan X 04/08/2020,8
Albania X 04/02/2020,15
Albania X 04/03/2020,18
Albania X 04/04/2020,20
Albania X 04/05/2020,21
Albania X 04/06/2020,22
Albania X 04/07/2020,23
Albania X 04/08/2020,25
Algeria X 04/02/2020,72
Algeria X 04/03/2020,82
Algeria X 04/04/2020,90
Algeria X 04/05/2020,100
Algeria X 04/06/2020,108
Algeria X 04/07/2020,119
Algeria X 04/08/2020,125
Andorra X 04/02/2020,19
Andorra X 04/03/2020,23
Andorra X 04/04/2020,27
Andorra X 04/05/2020,30
Andorra X 04/06/2020,33
Andorra X 04/07/2020,37
Andorra X 04/08/2020,40
Angola X 04/02/2020,0
Angola X 04/03/2020,0
Angola X 04/04/2020,0
Angola X 04/05/2020,0
Angola X 04/06/2020,0
Angola X 04/07/2020,0
Angola X 04/08/2020,0
Antigua and Barbuda X 04/02/2020,0
Antigua and Barbuda X 04/03/2020,0
Antigua and Barbuda X 04/04/2020,0
Antigua and Barbuda X 04/05/2020,0
Antigua and Barbuda X 04/06/2020,0
Antigua and Barbuda X 04/07/2020,0
Antigua and Barbuda X 04/08/2020,0
Argentina X 04/02/2020,31
Argentina X 04/03/2020,34
Argentina X 04/04/2020,34
Argentina X 04/05/2020,37
Argentina X 04/06/2020,41
Argentina X 04/07/2020,42
Argentina X 04/08/2020,45
Armenia X 04/02/2020,4
Armenia X 04/03/2020,4
Armenia X 04/04/2020,5
Armenia X 04/05/2020,5
Armenia X 04/06/2020,4
Armenia X 04/07/2020,6
Armenia X 04/08/2020,6
Aruba X 04/02/2020,0
Aruba X 04/03/2020,0
Aruba X 04/04/2020,0
Aruba X 04/05/2020,0
Aruba X 04/06/2020,0
Aruba X 04/07/2020,0
Aruba X 04/08/2020,0
Australia X 04/02/2020,19
Australia X 04/03/2020,19
Australia X 04/04/2020,19
Australia X 04/05/2020,19
Australia X 04/06/2020,19
Australia X 04/07/2020,23
Australia X 04/08/2020,23
Austria X 04/02/2020,166
Austria X 04/03/2020,195
Austria X 04/04/2020,222
Austria X 04/05/2020,251
Austria X 04/06/2020,275
Austria X 04/07/2020,315
Austria X 04/08/2020,345
Azerbaijan X 04/02/2020,6
Azerbaijan X 04/03/2020,6
Azerbaijan X 04/04/2020,6
Azerbaijan X 04/05/2020,6
Azerbaijan X 04/06/2020,7
Azerbaijan X 04/07/2020,9
Azerbaijan X 04/08/2020,9
Bahamas (the) X 04/02/2020,0
Bahamas (the) X 04/03/2020,0
Bahamas (the) X 04/04/2020,0
Bahamas (the) X 04/05/2020,0
Bahamas (the) X 04/06/2020,0
Bahamas (the) X 04/07/2020,0
Bahamas (the) X 04/08/2020,0
Bahrain X 04/02/2020,4
Bahrain X 04/03/2020,4
Bahrain X 04/04/2020,4
Bahrain X 04/05/2020,5
Bahrain X 04/06/2020,5
Bahrain X 04/07/2020,5
Bahrain X 04/08/2020,5
Bangladesh X 04/02/2020,7
Bangladesh X 04/03/2020,7
Bangladesh X 04/04/2020,8
Bangladesh X 04/05/2020,8
Bangladesh X 04/06/2020,9
Bangladesh X 04/07/2020,9
Bangladesh X 04/08/2020,9
Barbados X 04/02/2020,0
Barbados X 04/03/2020,0
Barbados X 04/04/2020,0
Barbados X 04/05/2020,0
Barbados X 04/06/2020,0
Barbados X 04/07/2020,0
Barbados X 04/08/2020,0
Belarus X 04/02/2020,0
Belarus X 04/03/2020,0
Belarus X 04/04/2020,0
Belarus X 04/05/2020,0
Belarus X 04/06/2020,0
Belarus X 04/07/2020,0
Belarus X 04/08/2020,0
Belgium X 04/02/2020,985
Belgium X 04/03/2020,1102
Belgium X 04/04/2020,1234
Belgium X 04/05/2020,1376
Belgium X 04/06/2020,1544
Belgium X 04/07/2020,1694
Belgium X 04/08/2020,1872
Belize X 04/02/2020,0
Belize X 04/03/2020,0
Belize X 04/04/2020,0
Belize X 04/05/2020,0
Belize X 04/06/2020,0
Belize X 04/07/2020,0
Belize X 04/08/2020,0
Benin X 04/02/2020,0
Benin X 04/03/2020,0
Benin X 04/04/2020,0
Benin X 04/05/2020,0
Benin X 04/06/2020,0
Benin X 04/07/2020,0
Benin X 04/08/2020,0
Bermuda X 04/02/2020,0
Bermuda X 04/03/2020,0
Bermuda X 04/04/2020,0
Bermuda X 04/05/2020,0
Bermuda X 04/06/2020,0
Bermuda X 04/07/2020,0
Bermuda X 04/08/2020,0
Bhutan X 04/02/2020,0
Bhutan X 04/03/2020,0
Bhutan X 04/04/2020,0
Bhutan X 04/05/2020,0
Bhutan X 04/06/2020,0
Bhutan X 04/07/2020,0
Bhutan X 04/08/2020,0
Bolivia (Plurinational State of) X 04/02/2020,7
Bolivia (Plurinational State of) X 04/03/2020,7
Bolivia (Plurinational State of) X 04/04/2020,6
Bolivia (Plurinational State of) X 04/05/2020,4
Bolivia (Plurinational State of) X 04/06/2020,3
Bolivia (Plurinational State of) X 04/07/2020,2
Bolivia (Plurinational State of) X 04/08/2020,1
Bosnia and Herzegovina X 04/02/2020,16
Bosnia and Herzegovina X 04/03/2020,19
Bosnia and Herzegovina X 04/04/2020,20
Bosnia and Herzegovina X 04/05/2020,22
Bosnia and Herzegovina X 04/06/2020,25
Bosnia and Herzegovina X 04/07/2020,26
Bosnia and Herzegovina X 04/08/2020,28
Botswana X 04/02/2020,0
Botswana X 04/03/2020,0
Botswana X 04/04/2020,0
Botswana X 04/05/2020,0
Botswana X 04/06/2020,0
Botswana X 04/07/2020,0
Botswana X 04/08/2020,0
Brazil X 04/02/2020,287
Brazil X 04/03/2020,346
Brazil X 04/04/2020,401
Brazil X 04/05/2020,471
Brazil X 04/06/2020,538
Brazil X 04/07/2020,618
Brazil X 04/08/2020,698
Brunei Darussalam X 04/02/2020,1
Brunei Darussalam X 04/03/2020,1
Brunei Darussalam X 04/04/2020,1
Brunei Darussalam X 04/05/2020,1
Brunei Darussalam X 04/06/2020,1
Brunei Darussalam X 04/07/2020,1
Brunei Darussalam X 04/08/2020,1
Bulgaria X 04/02/2020,10
Bulgaria X 04/03/2020,10
Bulgaria X 04/04/2020,10
Bulgaria X 04/05/2020,11
Bulgaria X 04/06/2020,11
Bulgaria X 04/07/2020,12
Bulgaria X 04/08/2020,12
Burkina Faso X 04/02/2020,18
Burkina Faso X 04/03/2020,20
Burkina Faso X 04/04/2020,22
Burkina Faso X 04/05/2020,23
Burkina Faso X 04/06/2020,24
Burkina Faso X 04/07/2020,27
Burkina Faso X 04/08/2020,29
Burundi X 04/02/2020,0
Burundi X 04/03/2020,0
Burundi X 04/04/2020,0
Burundi X 04/05/2020,0
Burundi X 04/06/2020,0
Burundi X 04/07/2020,0
Burundi X 04/08/2020,0
Cabo Verde X 04/02/2020,1
Cabo Verde X 04/03/2020,1
Cabo Verde X 04/04/2020,1
Cabo Verde X 04/05/2020,2
Cabo Verde X 04/06/2020,2
Cabo Verde X 04/07/2020,2
Cabo Verde X 04/08/2020,2
Cambodia X 04/02/2020,0
Cambodia X 04/03/2020,0
Cambodia X 04/04/2020,0
Cambodia X 04/05/2020,0
Cambodia X 04/06/2020,0
Cambodia X 04/07/2020,0
Cambodia X 04/08/2020,0
Cameroon X 04/02/2020,6
Cameroon X 04/03/2020,6
Cameroon X 04/04/2020,6
Cameroon X 04/05/2020,6
Cameroon X 04/06/2020,7
Cameroon X 04/07/2020,7
Cameroon X 04/08/2020,8
Canada X 04/02/2020,121
Canada X 04/03/2020,129
Canada X 04/04/2020,140
Canada X 04/05/2020,148
Canada X 04/06/2020,159
Canada X 04/07/2020,174
Canada X 04/08/2020,196
Cayman Islands X 04/02/2020,1
Cayman Islands X 04/03/2020,1
Cayman Islands X 04/04/2020,1
Cayman Islands X 04/05/2020,1
Cayman Islands X 04/06/2020,1
Cayman Islands X 04/07/2020,1
Cayman Islands X 04/08/2020,1
Central African Republic (the) X 04/02/2020,0
Central African Republic (the) X 04/03/2020,0
Central African Republic (the) X 04/04/2020,0
Central African Republic (the) X 04/05/2020,0
Central African Republic (the) X 04/06/2020,0
