Territory X Date,Target
Afghanistan X 04/02/2020,5
Afghanistan X 04/03/2020,7
Afghanistan X 04/04/2020,7
Afghanistan X 04/05/2020,8
Afghanistan X 04/06/2020,9
Afghanistan X 04/07/2020,12
Afghanistan X 04/08/2020,12
Albania X 04/02/2020,17
Albania X 04/03/2020,20
Albania X 04/04/2020,22
Albania X 04/05/2020,25
Albania X 04/06/2020,27
Albania X 04/07/2020,30
Albania X 04/08/2020,33
Algeria X 04/02/2020,77
Algeria X 04/03/2020,95
Algeria X 04/04/2020,111
Algeria X 04/05/2020,129
Algeria X 04/06/2020,149
Algeria X 04/07/2020,170
Algeria X 04/08/2020,190
Andorra X 04/02/2020,21
Andorra X 04/03/2020,26
Andorra X 04/04/2020,31
Andorra X 04/05/2020,37
Andorra X 04/06/2020,42
Andorra X 04/07/2020,50
Andorra X 04/08/2020,57
Angola X 04/02/2020,0
Angola X 04/03/2020,0
Angola X 04/04/2020,0
Angola X 04/05/2020,0
Angola X 04/06/2020,0
Angola X 04/07/2020,0
Angola X 04/08/2020,0
Antigua and Barbuda X 04/02/2020,1
Antigua and Barbuda X 04/03/2020,1
Antigua and Barbuda X 04/04/2020,1
Antigua and Barbuda X 04/05/2020,1
Antigua and Barbuda X 04/06/2020,1
Antigua and Barbuda X 04/07/2020,1
Antigua and Barbuda X 04/08/2020,1
Argentina X 04/02/2020,33
Argentina X 04/03/2020,38
Argentina X 04/04/2020,40
Argentina X 04/05/2020,46
Argentina X 04/06/2020,52
Argentina X 04/07/2020,55
Argentina X 04/08/2020,61
Armenia X 04/02/2020,5
Armenia X 04/03/2020,5
Armenia X 04/04/2020,6
Armenia X 04/05/2020,7
Armenia X 04/06/2020,8
Armenia X 04/07/2020,10
Armenia X 04/08/2020,10
Aruba X 04/02/2020,1
Aruba X 04/03/2020,1
Aruba X 04/04/2020,1
Aruba X 04/05/2020,1
Aruba X 04/06/2020,1
Aruba X 04/07/2020,1
Aruba X 04/08/2020,1
Australia X 04/02/2020,22
Australia X 04/03/2020,23
Australia X 04/04/2020,24
Australia X 04/05/2020,25
Australia X 04/06/2020,26
Australia X 04/07/2020,30
Australia X 04/08/2020,31
Austria X 04/02/2020,174
Austria X 04/03/2020,207
Austria X 04/04/2020,238
Austria X 04/05/2020,273
Austria X 04/06/2020,305
Austria X 04/07/2020,355
Austria X 04/08/2020,397
Azerbaijan X 04/02/2020,6
Azerbaijan X 04/03/2020,7
Azerbaijan X 04/04/2020,8
Azerbaijan X 04/05/2020,8
Azerbaijan X 04/06/2020,10
Azerbaijan X 04/07/2020,11
Azerbaijan X 04/08/2020,12
Bahamas (the) X 04/02/2020,0
Bahamas (the) X 04/03/2020,0
Bahamas (the) X 04/04/2020,0
Bahamas (the) X 04/05/2020,0
Bahamas (the) X 04/06/2020,0
Bahamas (the) X 04/07/2020,0
Bahamas (the) X 04/08/2020,0
Bahrain X 04/02/2020,5
Bahrain X 04/03/2020,6
Bahrain X 04/04/2020,6
Bahrain X 04/05/2020,7
Bahrain X 04/06/2020,7
Bahrain X 04/07/2020,7
Bahrain X 04/08/2020,8
Bangladesh X 04/02/2020,8
Bangladesh X 04/03/2020,9
Bangladesh X 04/04/2020,10
Bangladesh X 04/05/2020,11
Bangladesh X 04/06/2020,12
Bangladesh X 04/07/2020,13
Bangladesh X 04/08/2020,13
Barbados X 04/02/2020,1
Barbados X 04/03/2020,1
Barbados X 04/04/2020,1
Barbados X 04/05/2020,1
Barbados X 04/06/2020,1
Barbados X 04/07/2020,1
Barbados X 04/08/2020,1
Belarus X 04/02/2020,0
Belarus X 04/03/2020,0
Belarus X 04/04/2020,0
Belarus X 04/05/2020,0
Belarus X 04/06/2020,0
Belarus X 04/07/2020,0
Belarus X 04/08/2020,0
Belgium X 04/02/2020,1049
Belgium X 04/03/2020,1210
Belgium X 04/04/2020,1408
Belgium X 04/05/2020,1619
Belgium X 04/06/2020,1868
Belgium X 04/07/2020,2103
Belgium X 04/08/2020,2374
Belize X 04/02/2020,1
Belize X 04/03/2020,1
Belize X 04/04/2020,1
Belize X 04/05/2020,1
Belize X 04/06/2020,1
Belize X 04/07/2020,1
Belize X 04/08/2020,1
Benin X 04/02/2020,1
Benin X 04/03/2020,1
Benin X 04/04/2020,1
Benin X 04/05/2020,1
Benin X 04/06/2020,1
Benin X 04/07/2020,1
Benin X 04/08/2020,1
Bermuda X 04/02/2020,1
Bermuda X 04/03/2020,1
Bermuda X 04/04/2020,1
Bermuda X 04/05/2020,1
Bermuda X 04/06/2020,1
Bermuda X 04/07/2020,1
Bermuda X 04/08/2020,1
Bhutan X 04/02/2020,1
Bhutan X 04/03/2020,1
Bhutan X 04/04/2020,1
Bhutan X 04/05/2020,1
Bhutan X 04/06/2020,1
Bhutan X 04/07/2020,1
Bhutan X 04/08/2020,1
Bolivia (Plurinational State of) X 04/02/2020,9
Bolivia (Plurinational State of) X 04/03/2020,9
Bolivia (Plurinational State of) X 04/04/2020,10
Bolivia (Plurinational State of) X 04/05/2020,10
Bolivia (Plurinational State of) X 04/06/2020,10
Bolivia (Plurinational State of) X 04/07/2020,9
Bolivia (Plurinational State of) X 04/08/2020,9
Bosnia and Herzegovina X 04/02/2020,18
Bosnia and Herzegovina X 04/03/2020,23
Bosnia and Herzegovina X 04/04/2020,24
Bosnia and Herzegovina X 04/05/2020,29
Bosnia and Herzegovina X 04/06/2020,33
Bosnia and Herzegovina X 04/07/2020,36
Bosnia and Herzegovina X 04/08/2020,40
Botswana X 04/02/2020,0
Botswana X 04/03/2020,0
Botswana X 04/04/2020,0
Botswana X 04/05/2020,0
Botswana X 04/06/2020,0
Botswana X 04/07/2020,0
Botswana X 04/08/2020,0
Brazil X 04/02/2020,294
Brazil X 04/03/2020,358
Brazil X 04/04/2020,424
Brazil X 04/05/2020,508
Brazil X 04/06/2020,592
Brazil X 04/07/2020,695
Brazil X 04/08/2020,800
Brunei Darussalam X 04/02/2020,2
Brunei Darussalam X 04/03/2020,2
Brunei Darussalam X 04/04/2020,2
Brunei Darussalam X 04/05/2020,2
Brunei Darussalam X 04/06/2020,2
Brunei Darussalam X 04/07/2020,2
Brunei Darussalam X 04/08/2020,2
Bulgaria X 04/02/2020,13
Bulgaria X 04/03/2020,13
Bulgaria X 04/04/2020,14
Bulgaria X 04/05/2020,15
Bulgaria X 04/06/2020,16
Bulgaria X 04/07/2020,17
Bulgaria X 04/08/2020,18
Burkina Faso X 04/02/2020,20
Burkina Faso X 04/03/2020,23
Burkina Faso X 04/04/2020,24
Burkina Faso X 04/05/2020,26
Burkina Faso X 04/06/2020,28
Burkina Faso X 04/07/2020,32
Burkina Faso X 04/08/2020,35
Burundi X 04/02/2020,1
Burundi X 04/03/2020,1
Burundi X 04/04/2020,1
Burundi X 04/05/2020,1
Burundi X 04/06/2020,1
Burundi X 04/07/2020,1
Burundi X 04/08/2020,1
Cabo Verde X 04/02/2020,2
Cabo Verde X 04/03/2020,2
Cabo Verde X 04/04/2020,2
Cabo Verde X 04/05/2020,3
Cabo Verde X 04/06/2020,3
Cabo Verde X 04/07/2020,3
Cabo Verde X 04/08/2020,3
Cambodia X 04/02/2020,1
Cambodia X 04/03/2020,1
Cambodia X 04/04/2020,1
Cambodia X 04/05/2020,1
Cambodia X 04/06/2020,1
Cambodia X 04/07/2020,1
Cambodia X 04/08/2020,1
Cameroon X 04/02/2020,8
Cameroon X 04/03/2020,9
Cameroon X 04/04/2020,9
Cameroon X 04/05/2020,10
Cameroon X 04/06/2020,12
Cameroon X 04/07/2020,13
Cameroon X 04/08/2020,14
Canada X 04/02/2020,132
Canada X 04/03/2020,147
Canada X 04/04/2020,165
Canada X 04/05/2020,179
Canada X 04/06/2020,197
Canada X 04/07/2020,220
Canada X 04/08/2020,250
Cayman Islands X 04/02/2020,2
Cayman Islands X 04/03/2020,2
Cayman Islands X 04/04/2020,2
Cayman Islands X 04/05/2020,2
Cayman Islands X 04/06/2020,2
Cayman Islands X 04/07/2020,2
Cayman Islands X 04/08/2020,2
Central African Republic (the) X 04/02/2020,1
Central African Republic (the) X 04/03/2020,1
Central African Republic (the) X 04/04/2020,1
Central African Republic (the) X 04/05/2020,1
Central African Republic (the) X 04/06/2020,1
Central African Republic (the) X 04/07/2020,1
Central African Republic (the) X 04/08/2020,1
Chad X 04/02/2020,1
Chad X 04/03/2020,1
Chad X 04/04/2020,1
Chad X 04/05/2020,1
Chad X 04/06/2020,1
Chad X 04/07/2020,1
Chad X 04/08/2020,1
Chile X 04/02/2020,21
Chile X 04/03/2020,28
Chile X 04/04/2020,34
Chile X 04/05/2020,39
Chile X 04/06/2020,46
Chile X 04/07/2020,53
Chile X 04/08/2020,60
China X 04/02/2020,3405
China X 04/03/2020,3414
China X 04/04/2020,3437
China X 04/05/2020,3452
China X 04/06/2020,3476
China X 04/07/2020,3496
China X 04/08/2020,3518
Colombia X 04/02/2020,21
Colombia X 04/03/2020,26
Colombia X 04/04/2020,31
Colombia X 04/05/2020,35
Colombia X 04/06/2020,40
Colombia X 04/07/2020,46
Colombia X 04/08/2020,50
Comoros (the) X 04/02/2020,1
Comoros (the) X 04/03/2020,1
Comoros (the) X 04/04/2020,1
Comoros (the) X 04/05/2020,1
Comoros (the) X 04/06/2020,1
Comoros (the) X 04/07/2020,1
Comoros (the) X 04/08/2020,1
Congo (the) X 04/02/2020,1
Congo (the) X 04/03/2020,1
Congo (the) X 04/04/2020,1
Congo (the) X 04/05/2020,1
Congo (the) X 04/06/2020,1
Congo (the) X 04/07/2020,1
Congo (the) X 04/08/2020,1
Costa Rica X 04/02/2020,3
Costa Rica X 04/03/2020,3
Costa Rica X 04/04/2020,3
Costa Rica X 04/05/2020,3
Costa Rica X 04/06/2020,4
Costa Rica X 04/07/2020,4
Costa Rica X 04/08/2020,4
Croatia X 04/02/2020,7
Croatia X 04/03/2020,8
Croatia X 04/04/2020,8
Croatia X 04/05/2020,9
Croatia X 04/06/2020,9
Croatia X 04/07/2020,10
Croatia X 04/08/2020,11
Cuba X 04/02/2020,8
Cuba X 04/03/2020,9
Cuba X 04/04/2020,9
Cuba X 04/05/2020,10
Cuba X 04/06/2020,11
Cuba X 04/07/2020,13
Cuba X 04/08/2020,14
Curacao X 04/02/2020,2
Curacao X 04/03/2020,2
Curacao X 04/04/2020,2
Curacao X 04/05/2020,2
Curacao X 04/06/2020,2
Curacao X 04/07/2020,2
Curacao X 04/08/2020,2
Cyprus X 04/02/2020,12
Cyprus X 04/03/2020,14
Cyprus X 04/04/2020,16
Cyprus X 04/05/2020,20
Cyprus X 04/06/2020,22
Cyprus X 04/07/2020,24
Cyprus X 04/08/2020,28
Czechia X 04/02/2020,49
Czechia X 04/03/2020,60
Czechia X 04/04/2020,71
Czechia X 04/05/2020,85
Czechia X 04/06/2020,100
Czechia X 04/07/2020,115
Czechia X 04/08/2020,128
Côte d'Ivoire X 04/02/2020,0
Côte d'Ivoire X 04/03/2020,0
Côte d'Ivoire X 04/04/2020,0
Côte d'Ivoire X 04/05/2020,0
Côte d'Ivoire X 04/06/2020,0
Côte d'Ivoire X 04/07/2020,0
Côte d'Ivoire X 04/08/2020,0
Democratic People's Republic of Korea (the) X 04/02/2020,178
Democratic People's Republic of Korea (the) X 04/03/2020,184
Democratic People's Republic of Korea (the) X 04/04/2020,191
Democratic People's Republic of Korea (the) X 04/05/2020,200
Democratic People's Republic of Korea (the) X 04/06/2020,207
Democratic People's Republic of Korea (the) X 04/07/2020,217
Democratic People's Republic of Korea (the) X 04/08/2020,226
Democratic Republic of the Congo (the) X 04/02/2020,12
Democratic Republic of the Congo (the) X 04/03/2020,13
Democratic Republic of the Congo (the) X 04/04/2020,14
Democratic Republic of the Congo (the) X 04/05/2020,17
Democratic Republic of the Congo (the) X 04/06/2020,18
Democratic Republic of the Congo (the) X 04/07/2020,20
Democratic Republic of the Congo (the) X 04/08/2020,22
Denmark X 04/02/2020,119
Denmark X 04/03/2020,128
Denmark X 04/04/2020,149
Denmark X 04/05/2020,170
Denmark X 04/06/2020,184
Denmark X 04/07/2020,203
Denmark X 04/08/2020,226
Djibouti X 04/02/2020,1
Djibouti X 04/03/2020,1
Djibouti X 04/04/2020,1
Djibouti X 04/05/2020,1
Djibouti X 04/06/2020,1
Djibouti X 04/07/2020,1
Djibouti X 04/08/2020,1
Dominica X 04/02/2020,1
Dominica X 04/03/2020,1
Dominica X 04/04/2020,1
Dominica X 04/05/2020,1
Dominica X 04/06/2020,1
Dominica X 04/07/2020,1
Dominica X 04/08/2020,1
Dominican Republic (the) X 04/02/2020,68
Dominican Republic (the) X 04/03/2020,78
Dominican Republic (the) X 04/04/2020,88
Dominican Republic (the) X 04/05/2020,102
Dominican Republic (the) X 04/06/2020,117
Dominican Republic (the) X 04/07/2020,129
Dominican Republic (the) X 04/08/2020,151
Ecuador X 04/02/2020,111
Ecuador X 04/03/2020,132
Ecuador X 04/04/2020,152
Ecuador X 04/05/2020,177
Ecuador X 04/06/2020,197
Ecuador X 04/07/2020,222
Ecuador X 04/08/2020,245
Egypt X 04/02/2020,61
Egypt X 04/03/2020,69
Egypt X 04/04/2020,75
Egypt X 04/05/2020,79
Egypt X 04/06/2020,85
Egypt X 04/07/2020,94
Egypt X 04/08/2020,105
El Salvador X 04/02/2020,0
El Salvador X 04/03/2020,0
El Salvador X 04/04/2020,0
El Salvador X 04/05/2020,0
El Salvador X 04/06/2020,0
El Salvador X 04/07/2020,0
El Salvador X 04/08/2020,0
Equatorial Guinea X 04/02/2020,1
Equatorial Guinea X 04/03/2020,1
Equatorial Guinea X 04/04/2020,1
Equatorial Guinea X 04/05/2020,1
Equatorial Guinea X 04/06/2020,1
Equatorial Guinea X 04/07/2020,1
Equatorial Guinea X 04/08/2020,1
Eritrea X 04/02/2020,1
Eritrea X 04/03/2020,1
Eritrea X 04/04/2020,1
Eritrea X 04/05/2020,1
Eritrea X 04/06/2020,1
Eritrea X 04/07/2020,1
Eritrea X 04/08/2020,1
Estonia X 04/02/2020,8
Estonia X 04/03/2020,8
Estonia X 04/04/2020,10
Estonia X 04/05/2020,11
Estonia X 04/06/2020,14
Estonia X 04/07/2020,14
Estonia X 04/08/2020,17
Eswatini X 04/02/2020,1
Eswatini X 04/03/2020,1
Eswatini X 04/04/2020,1
Eswatini X 04/05/2020,1
Eswatini X 04/06/2020,1
Eswatini X 04/07/2020,1
Eswatini X 04/08/2020,1
Ethiopia X 04/02/2020,1
Ethiopia X 04/03/2020,1
Ethiopia X 04/04/2020,1
Ethiopia X 04/05/2020,1
Ethiopia X 04/06/2020,1
Ethiopia X 04/07/2020,1
Ethiopia X 04/08/2020,1
Faroe Islands X 04/02/2020,1
Faroe Islands X 04/03/2020,1
Faroe Islands X 04/04/2020,1
Faroe Islands X 04/05/2020,1
Faroe Islands X 04/06/2020,1
Faroe Islands X 04/07/2020,1
Faroe Islands X 04/08/2020,1
Fiji X 04/02/2020,1
Fiji X 04/03/2020,1
Fiji X 04/04/2020,1
Fiji X 04/05/2020,1
Fiji X 04/06/2020,1
Fiji X 04/07/2020,1
Fiji X 04/08/2020,1
Finland X 04/02/2020,22
Finland X 04/03/2020,25
Finland X 04/04/2020,28
Finland X 04/05/2020,31
Finland X 04/06/2020,36
Finland X 04/07/2020,41
Finland X 04/08/2020,46
France X 04/02/2020,4566
France X 04/03/2020,5124
France X 04/04/2020,5746
France X 04/05/2020,6438
France X 04/06/2020,7143
France X 04/07/2020,8007
France X 04/08/2020,8827
French Guiana X 04/02/2020,1
French Guiana X 04/03/2020,1
French Guiana X 04/04/2020,1
French Guiana X 04/05/2020,1
French Guiana X 04/06/2020,1
French Guiana X 04/07/2020,1
French Guiana X 04/08/2020,1
French Polynesia X 04/02/2020,1
French Polynesia X 04/03/2020,1
French Polynesia X 04/04/2020,1
French Polynesia X 04/05/2020,1
French Polynesia X 04/06/2020,1
French Polynesia X 04/07/2020,1
French Polynesia X 04/08/2020,1
Gabon X 04/02/2020,2
Gabon X 04/03/2020,2
Gabon X 04/04/2020,2
Gabon X 04/05/2020,2
Gabon X 04/06/2020,2
Gabon X 04/07/2020,2
Gabon X 04/08/2020,3
Gambia (the) X 04/02/2020,2
Gambia (the) X 04/03/2020,2
Gambia (the) X 04/04/2020,3
Gambia (the) X 04/05/2020,3
Gambia (the) X 04/06/2020,3
Gambia (the) X 04/07/2020,3
Gambia (the) X 04/08/2020,3
Georgia X 04/02/2020,1
Georgia X 04/03/2020,1
Georgia X 04/04/2020,1
Georgia X 04/05/2020,1
Georgia X 04/06/2020,1
Georgia X 04/07/2020,1
Georgia X 04/08/2020,1
Germany X 04/02/2020,1076
Germany X 04/03/2020,1236
Germany X 04/04/2020,1428
Germany X 04/05/2020,1637
Germany X 04/06/2020,1873
Germany X 04/07/2020,2133
Germany X 04/08/2020,2420
Ghana X 04/02/2020,7
Ghana X 04/03/2020,7
Ghana X 04/04/2020,8
Ghana X 04/05/2020,9
Ghana X 04/06/2020,11
Ghana X 04/07/2020,12
Ghana X 04/08/2020,12
Greece X 04/02/2020,63
Greece X 04/03/2020,70
Greece X 04/04/2020,77
Greece X 04/05/2020,84
Greece X 04/06/2020,91
Greece X 04/07/2020,100
Greece X 04/08/2020,107
Greenland X 04/02/2020,1
Greenland X 04/03/2020,1
Greenland X 04/04/2020,1
Greenland X 04/05/2020,1
Greenland X 04/06/2020,1
Greenland X 04/07/2020,1
Greenland X 04/08/2020,1
Grenada X 04/02/2020,1
Grenada X 04/03/2020,1
Grenada X 04/04/2020,1
Grenada X 04/05/2020,1
Grenada X 04/06/2020,1
Grenada X 04/07/2020,1
Grenada X 04/08/2020,1
Guadeloupe X 04/02/2020,9
Guadeloupe X 04/03/2020,10
Guadeloupe X 04/04/2020,11
Guadeloupe X 04/05/2020,13
Guadeloupe X 04/06/2020,15
Guadeloupe X 04/07/2020,16
Guadeloupe X 04/08/2020,17
Guatemala X 04/02/2020,2
Guatemala X 04/03/2020,2
Guatemala X 04/04/2020,2
Guatemala X 04/05/2020,2
Guatemala X 04/06/2020,2
Guatemala X 04/07/2020,2
Guatemala X 04/08/2020,2
Guinea X 04/02/2020,1
Guinea X 04/03/2020,1
Guinea X 04/04/2020,1
Guinea X 04/05/2020,1
Guinea X 04/06/2020,1
Guinea X 04/07/2020,1
Guinea X 04/08/2020,1
Guinea-Bissau X 04/02/2020,1
Guinea-Bissau X 04/03/2020,1
Guinea-Bissau X 04/04/2020,1
Guinea-Bissau X 04/05/2020,1
Guinea-Bissau X 04/06/2020,1
Guinea-Bissau X 04/07/2020,1
Guinea-Bissau X 04/08/2020,1
Guyana X 04/02/2020,3
Guyana X 04/03/2020,3
Guyana X 04/04/2020,4
Guyana X 04/05/2020,4
Guyana X 04/06/2020,4
Guyana X 04/07/2020,4
Guyana X 04/08/2020,5
Haiti X 04/02/2020,1
Haiti X 04/03/2020,1
Haiti X 04/04/2020,1
Haiti X 04/05/2020,1
Haiti X 04/06/2020,1
Haiti X 04/07/2020,1
Haiti X 04/08/2020,1
Honduras X 04/02/2020,15
Honduras X 04/03/2020,17
Honduras X 04/04/2020,20
Honduras X 04/05/2020,25
Honduras X 04/06/2020,27
Honduras X 04/07/2020,32
Honduras X 04/08/2020,36
Hungary X 04/02/2020,24
Hungary X 04/03/2020,28
Hungary X 04/04/2020,31
Hungary X 04/05/2020,35
Hungary X 04/06/2020,38
Hungary X 04/07/2020,40
Hungary X 04/08/2020,42
Iceland X 04/02/2020,4
Iceland X 04/03/2020,4
Iceland X 04/04/2020,4
Iceland X 04/05/2020,4
Iceland X 04/06/2020,4
Iceland X 04/07/2020,4
Iceland X 04/08/2020,5
India X 04/02/2020,55
India X 04/03/2020,66
India X 04/04/2020,78
India X 04/05/2020,87
India X 04/06/2020,98
India X 04/07/2020,116
India X 04/08/2020,126
Indonesia X 04/02/2020,179
Indonesia X 04/03/2020,199
Indonesia X 04/04/2020,217
Indonesia X 04/05/2020,237
Indonesia X 04/06/2020,258
Indonesia X 04/07/2020,282
Indonesia X 04/08/2020,304
Iran (Islamic Republic of) X 04/02/2020,3175
Iran (Islamic Republic of) X 04/03/2020,3328
Iran (Islamic Republic of) X 04/04/2020,3491
Iran (Islamic Republic of) X 04/05/2020,3661
Iran (Islamic Republic of) X 04/06/2020,3851
Iran (Islamic Republic of) X 04/07/2020,4057
Iran (Islamic Republic of) X 04/08/2020,4265
Iraq X 04/02/2020,57
Iraq X 04/03/2020,62
Iraq X 04/04/2020,67
Iraq X 04/05/2020,72
Iraq X 04/06/2020,77
Iraq X 04/07/2020,84
Iraq X 04/08/2020,89
Ireland X 04/02/2020,103
Ireland X 04/03/2020,125
Ireland X 04/04/2020,146
Ireland X 04/05/2020,171
Ireland X 04/06/2020,198
