Territory X Date,Target
Afghanistan X 03/06/2020,0
Afghanistan X 03/07/2020,0
Afghanistan X 03/08/2020,0
Afghanistan X 03/09/2020,0
Afghanistan X 03/10/2020,0
Afghanistan X 03/11/2020,0
Afghanistan X 03/12/2020,0
Afghanistan X 03/13/2020,0
Afghanistan X 03/14/2020,0
Afghanistan X 03/15/2020,0
Afghanistan X 03/16/2020,0
Afghanistan X 03/17/2020,0
Afghanistan X 03/18/2020,0
Afghanistan X 03/19/2020,0
Afghanistan X 03/20/2020,0
Afghanistan X 03/21/2020,0
Afghanistan X 03/22/2020,1
Afghanistan X 03/23/2020,1
Afghanistan X 03/24/2020,1
Afghanistan X 03/25/2020,2
Afghanistan X 03/26/2020,4
Afghanistan X 03/27/2020,4
Afghanistan X 03/28/2020,4
Afghanistan X 03/29/2020,4
Afghanistan X 03/30/2020,4
Afghanistan X 03/31/2020,4
Afghanistan X 04/01/2020,4
Afghanistan X 04/02/2020,4
Afghanistan X 04/03/2020,5
Afghanistan X 04/04/2020,5
Afghanistan X 04/05/2020,5
Afghanistan X 04/06/2020,6
Afghanistan X 04/07/2020,8
Afghanistan X 04/08/2020,8
Afghanistan X 04/09/2020,8
Afghanistan X 04/10/2020,8
Afghanistan X 04/11/2020,8
Afghanistan X 04/12/2020,8
Afghanistan X 04/13/2020,8
Afghanistan X 04/14/2020,9
Afghanistan X 04/15/2020,10
Afghanistan X 04/16/2020,10
Afghanistan X 04/17/2020,10
Afghanistan X 04/18/2020,11
Afghanistan X 04/19/2020,13
Afghanistan X 04/20/2020,14
Afghanistan X 04/21/2020,14
Afghanistan X 04/22/2020,14
Afghanistan X 04/23/2020,14
Afghanistan X 04/24/2020,15
Afghanistan X 04/25/2020,15
Afghanistan X 04/26/2020,15
Afghanistan X 04/27/2020,17
Afghanistan X 04/28/2020,17
Afghanistan X 04/29/2020,17
Afghanistan X 04/30/2020,19
Afghanistan X 05/01/2020,21
Afghanistan X 05/02/2020,22
Afghanistan X 05/03/2020,22
Afghanistan X 05/04/2020,23
Afghanistan X 05/05/2020,23
Afghanistan X 05/06/2020,24
Afghanistan X 05/07/2020,25
Afghanistan X 05/08/2020,25
Afghanistan X 05/09/2020,27
Afghanistan X 05/10/2020,27
Afghanistan X 05/11/2020,28
Afghanistan X 05/12/2020,30
Afghanistan X 05/13/2020,33
